time,obs0_x,obs0_y,obs0_z,obs1_x,obs1_y,obs1_z,x,y,z,theta,psi,left,right
44,23.4468563294802,43.2172855368963,-62.8116721421162,62.536489822916,73.8178287319273,-75.5455173972839,47.6209377411128,57.1541689075586,-70.6444140730751,0.167960495070111,0.849486568522823,0,0
44.1,23.4326423966405,43.2795210987706,-62.8246130943714,62.5933243415031,73.8077215358832,-75.5532819686369,47.7584332616336,57.3106854715238,-70.6814529467728,0.166888621322914,0.844882180943218,0,0
44.2,23.4183369192871,43.341763970465,-62.8375540466266,62.6501651413064,73.7975747802288,-75.5610465399898,47.8970100177577,57.4673778997373,-70.7183576135814,0.164841952214013,0.840477314022066,0,0
44.3,23.4039398738658,43.4040140395841,-62.8504949988818,62.7070121964775,73.787388455618,-75.5688111113428,48.0355593535903,57.622915576813,-70.7547026172518,0.161971893576064,0.836948401702239,0,0
44.4,23.3894512369488,43.4662711936973,-62.863435951137,62.7638654811601,73.7771625527211,-75.5765756826958,48.1739081439046,57.777249453418,-70.7903173031488,0.159356496809416,0.832261424487536,0,0
44.5,23.3748709852348,43.5285353203384,-62.8763769033922,62.8207249694895,73.7668970622246,-75.5843402540487,48.311127780301,57.9293265486016,-70.8250174940323,0.158113202327556,0.826123737862818,0,0
44.6,23.3601990955494,43.590806307006,-62.8893178556474,62.8775906355932,73.7565919748314,-75.5921048254017,48.4472472610536,58.0788298689158,-70.858940844067,0.15730307927883,0.819734399996513,0,0
44.7,23.3454355448442,43.6530840411636,-62.9022588079026,62.9344624535906,73.7462472812604,-75.5998693967547,48.5825351162724,58.2258925601313,-70.8922304063878,0.156335797480228,0.813483269149523,0,0
44.8,23.3305803101979,43.7153684102398,-62.9151997601578,62.9913403975932,73.7358629722468,-75.6076339681076,48.7176581206545,58.3712011247105,-70.925027524533,0.15494036600005,0.807154539734099,0,0
44.9,23.3156333688157,43.7776593016281,-62.9281407124129,63.0482244417042,73.7254390385422,-75.6153985394606,48.8529681248968,58.5151335610246,-70.9574344385975,0.15512647639408,0.802271071386466,0,0
45,23.3005946980295,43.8399566026876,-62.9410816646681,63.1051145600191,73.7149754709143,-75.6231631108136,48.9889940528711,58.6584347611221,-70.9897823940307,0.15595486382771,0.798674282469696,0,0
45.1,23.2854642752982,43.9022602007426,-62.9540226169233,63.1620107266251,73.7044722601472,-75.6309276821665,49.125838904635,58.8016177605364,-71.0222378868307,0.156713917538724,0.793755865616349,0,0
45.2,23.2702420782073,43.9645699830832,-62.9669635691785,63.2189129156019,73.6939293970411,-75.6386922535195,49.2628738318594,58.9439273916181,-71.0547154353313,0.158149538310787,0.791222331154679,0,0
45.3,23.254928084469,44.026885836965,-62.9799045214337,63.2758211010206,73.6833468724127,-75.6464568248725,49.4005977268625,59.0861343700056,-71.0874417743967,0.160057372156505,0.78959005185173,0,0
45.4,23.2395222719229,44.0892076496095,-62.9928454736889,63.3327352569448,73.6727246770947,-75.6542213962254,49.5392475850419,59.2288336487961,-71.1205766517558,0.161591207062326,0.788303701973165,0,0
45.5,23.224024618535,44.1515353082041,-63.0057864259441,63.38965535743,73.6620628019364,-75.6619859675784,49.6784361076541,59.3718570324691,-71.1540779136332,0.163890582404846,0.786750046953628,0,0
45.6,23.2084351023986,44.2138686999025,-63.0187273781992,63.4465813765238,73.6513612378032,-75.6697505389314,49.8182370300569,59.5152692346754,-71.1880614937008,0.166504700758758,0.78552568281479,0,0
45.7,23.192753701734,44.2762077118244,-63.0316683304544,63.5035132882656,73.6406199755768,-75.6775151102843,49.9590978630054,59.6595590930984,-71.2227023912646,0.169397448293899,0.78463471221792,0,0
45.8,23.1769803948885,44.3385522310561,-63.0446092827096,63.5604510666873,73.6298390061553,-75.6852796816373,50.1011079366021,59.8048627372072,-71.2581346730274,0.173690503955087,0.785085954251907,0,0
45.9,23.1611151603365,44.4009021446502,-63.0575502349648,63.6173946858127,73.6190183204531,-75.6930442529903,50.2441429574645,59.9512629937689,-71.2945064446673,0.176895051400592,0.787189332280711,0,0
46,23.1451579766796,44.4632573396262,-63.07049118722,63.6743441196575,73.6081579094007,-75.7008088243432,50.3877009282373,60.0987213168283,-71.3317526909684,0.181550425063875,0.787087396236706,0,0
46.1,23.1291088226465,44.5256177029702,-63.0834321394752,63.7312993422298,73.5972577639454,-75.7085733956962,50.5311674669274,60.2464452600032,-71.3698323086009,0.186221377093687,0.789609910379777,0,0
46.2,23.1129676770934,44.5879831216351,-63.0963730917304,63.7882603275296,73.5863178750502,-75.7163379670492,50.6742776096262,60.3943304723388,-71.4088070511066,0.192211021536717,0.793933543644779,0,0
46.3,23.0967345190034,44.6503534825413,-63.1093140439856,63.8452270495493,73.5753382336951,-75.7241025384021,50.8167460549701,60.5426110643386,-71.4488796769884,0.199579893862012,0.798532007444646,0,0
46.4,23.0804093274873,44.7127286725759,-63.1222549962408,63.9021994822731,73.5643188308758,-75.7318671097551,50.9585608295232,60.6915396105846,-71.4903964915505,0.209265318708192,0.801350857789637,0,0
46.5,23.0639920817828,44.7751085785937,-63.1351959484959,63.9591775996775,73.5532596576049,-75.7396316811081,51.0994874872991,60.8407160386993,-71.5336824319916,0.220542465857979,0.803151136915193,0,0
46.6,23.0474827612555,44.8374930874166,-63.1481369007511,64.0161613757312,73.542160704911,-75.747396252461,51.2397452283869,60.9899955414076,-71.5790789040471,0.231927956898157,0.803843015531782,0,0
46.7,23.0308813453982,44.8998820858346,-63.1610778530063,64.0731507843951,73.5310219638392,-75.755160823814,51.3795204712712,61.1392938118744,-71.6266985563628,0.243112396879788,0.804959027358712,0,0
46.8,23.014187813831,44.962275460605,-63.1740188052615,64.130145799622,73.5198434254509,-75.762925395167,51.5181591565,61.2877394495135,-71.6763045315267,0.254150370698516,0.805606405381395,0,0
46.9,22.9974021463019,45.0246730984531,-63.1869597575167,64.1871463953573,73.5086250808239,-75.7706899665199,51.6563576480091,61.436034880121,-71.7280779048112,0.263914108286073,0.805267770449665,0,0
47,22.9805243226863,45.0870748860723,-63.1999007097719,64.2441525455382,73.4973669210524,-75.7784545378729,51.7941352673877,61.5839827896523,-71.7817907835113,0.272499094355295,0.802860465352589,0,0
47.1,22.963554322987,45.1494807101241,-63.2128416620271,64.3011642240944,73.486068937247,-75.7862191092258,51.9312002250416,61.7307785212687,-71.8369886104449,0.280064447195475,0.798683268715109,0,0
47.2,22.9464921273348,45.2118904572382,-63.2257826142823,64.3581814049476,73.4747311205346,-75.7939836805788,52.0680607110822,61.8764653988322,-71.8935135375776,0.285100302249606,0.793525963184548,0,0
47.3,22.929337715988,45.2743040140129,-63.2387235665374,64.4152040620118,73.4633534620586,-75.8017482519318,52.2060918299033,62.02196754493,-71.9513012956875,0.285452151480544,0.790767762673567,0,0
47.4,22.9120910693325,45.3367212670148,-63.2516645187926,64.4722321691934,73.4519359529786,-75.8095128232847,52.3446724496644,62.1668797760988,-72.0093460946868,0.281996529265416,0.788181952132427,0,0
47.5,22.8947521678823,45.3991421027795,-63.2646054710478,64.5292657003909,73.4404785844708,-75.8172773946377,52.483761358602,62.3113836378518,-72.0668188774166,0.274126506621421,0.785178991658743,0,0
47.6,22.8773209922789,45.4615664078112,-63.277546423303,64.5863046294949,73.4289813477278,-75.8250419659907,52.6241311161347,62.4562010497998,-72.123156024543,0.263329253913423,0.782870248127256,0,0
47.7,22.8597975232917,45.5239940685832,-63.2904873755582,64.6433489303886,73.4174442339586,-75.8328065373436,52.7646896160867,62.6002906044842,-72.1773351748175,0.252355752440637,0.781445945941057,0,0
47.8,22.8421817418181,45.5864249715377,-63.3034283278134,64.7003985769471,73.4058672343885,-75.8405711086966,52.9051765483658,62.7435796676804,-72.2290543707389,0.241324939057938,0.781331297522631,0,0
47.9,22.8244736288834,45.6488590030865,-63.3163692800686,64.7574535430381,73.3942503402593,-75.8483356800496,53.0452765533158,62.8860367904775,-72.2782766816721,0.231564305151589,0.783000401518515,0,0
48,22.8066731656408,45.7112960496103,-63.3293102323238,64.8145138025215,73.3825935428293,-75.8561002514025,53.1849143289443,63.0279447554537,-72.3252274533254,0.223798975517806,0.787122101864118,0,2
48.1,22.7887803333715,45.7737359974598,-63.3422511845789,64.8715793292495,73.3708968333732,-75.8638648227555,53.3205919625404,63.1659697201694,-72.3696038030078,0.231643615336296,0.821584118718327,2,5
48.2,22.7707951134847,45.836178732955,-63.3551921368341,64.9286500970665,73.3591602031821,-75.8716293941085,53.4324658982108,63.2828947093466,-72.4071633239694,0.246167783982163,0.887951263804375,1,8
48.3,22.7527174875179,45.8986241423859,-63.3681330890893,64.9857260798094,73.3473836435636,-75.8793939654614,53.5162488030579,63.3778888927617,-72.4376820634046,0.262621510926577,0.972870102432543,0,10
48.4,22.7345474371364,45.9610721120123,-63.3810740413445,65.0428072513073,73.3355671458417,-75.8871585368144,53.5759496070948,63.455435779193,-72.4624823168698,0.279479005041435,1.06548269838108,0,10
48.5,22.7162849441338,46.023522528064,-63.3940149935997,65.0998935853818,73.3237107013569,-75.8949231081674,53.6179204737509,63.5206816371163,-72.4832966925109,0.296302868610447,1.16088898321341,0,8
48.6,22.697929990432,46.0859752767413,-63.4069559458549,65.1569850558467,73.3118143014662,-75.9026876795203,53.64946604057,63.5826099583098,-72.503237284129,0.313148835040964,1.25674408855708,0,7
48.7,22.679482558081,46.1484302442145,-63.4198968981101,65.2140816365083,73.2998779375429,-75.9104522508733,53.6758992833572,63.6520291864377,-72.526169435207,0.329367902155863,1.34838705360999,0,5
48.8,22.6609426292591,46.2108873166245,-63.4328378503653,65.2711833011651,73.2879016009771,-75.9182168222263,53.7005711631794,63.7445707146958,-72.5579103487784,0.344788537887507,1.43277057449784,0,4
48.9,22.6423101862729,46.2733463800828,-63.4457788026205,65.3282900236081,73.2758852831751,-75.9259813935792,53.7218122963692,63.865180783912,-72.6008784658668,0.359579208075339,1.50523752581696,0,2
49,22.6235852115574,46.3358073206718,-63.4587197548756,65.3854017776207,73.2638289755599,-75.9337459649322,53.7366230821773,64.012030142426,-72.6553068729045,0.37398357074313,1.55444476643637,0,2
49.1,22.6047676876759,46.3982700244445,-63.4716607071308,65.4425185369788,73.2517326695706,-75.9415105362852,53.7442297936061,64.1787645530413,-72.719639398243,0.386923410854222,1.59052942107038,0,1
49.2,22.5858575973201,46.4607343774252,-63.484601659386,65.4996402754505,73.2395963566634,-75.9492751076381,53.7452550557352,64.3448727420493,-72.7860163618884,0.396021238081161,1.6071387079429,0,1
49.3,22.5668549233103,46.5232002656092,-63.4975426116412,65.5567669667964,73.2274200283104,-75.9570396789911,53.7420872335891,64.5114237423867,-72.8545065848634,0.401472158056005,1.62092504638687,0,1
49.4,22.5477596485952,46.585667574963,-63.5104835638964,65.6138985847697,73.2152036760007,-75.9648042503441,53.7360197213183,64.6808100355548,-72.9254281420804,0.401014335619769,1.63472330915556,0,1
49.5,22.528571756252,46.6481361914248,-63.5234245161516,65.6710351031158,73.2029472912397,-75.972568821697,53.7273375298301,64.8547042593038,-72.9984731740286,0.393896119198841,1.65127127544367,0,1
49.6,22.5092912294865,46.7106060009042,-63.5363654684068,65.7281764955728,73.1906508655491,-75.98033339305,53.7152634598434,65.0380849137087,-73.0743389881546,0.377221402206438,1.6539621161204,0,1
49.7,22.4899180516332,46.7730768892826,-63.549306420662,65.785322735871,73.1783143904677,-75.9880979644029,53.7009560313836,65.2292955135426,-73.1504895672617,0.35631435635818,1.65700370491545,0,1
49.8,22.470452206155,46.8355487424131,-63.5622473729171,65.8424737977334,73.1659378575503,-75.9958625357559,53.6854186591938,65.4266011687541,-73.2248752010225,0.334385318741293,1.65605149420824,0,1
49.9,22.4508936766438,46.8980214461209,-63.5751883251723,65.8996296548754,73.1535212583684,-76.0036271071089,53.6694555170099,65.6274328187227,-73.2958987579697,0.312173301581169,1.65418702453165,0,1
