time,x,y,z,theta,psi,left,right
6.9,10.7719678197083,8.87349538864035,-52.5175461516444,0.249281593118973,0.681310727245885,6,0
7,10.8685110117628,8.96087835425128,-52.5505035803622,0.227530372581395,0.595713426808292,5,0
7.1,10.9677013130986,9.03721318333555,-52.5796398450137,0.2073541197396,0.506927717820722,4,0
7.2,11.0809300227965,9.10863096933358,-52.6080635496026,0.192476751119498,0.424573641745936,3,0
7.3,11.216158531335,9.17787079821255,-52.638041091118,0.188375355255395,0.357904211030584,2,0
7.4,11.3702356377391,9.24306182018937,-52.6699773626247,0.187599309301058,0.308509420512112,2,0
7.5,11.5372260459494,9.30280811458718,-52.7034278693975,0.186162884289188,0.266801824763875,1,0
7.6,11.7101149214841,9.35589512420051,-52.7368405256444,0.171651232435142,0.240865529844973,1,0
7.7,11.8876778280888,9.4038046692179,-52.7687029972307,0.153795595677027,0.223421315276602,1,0
7.8,12.0691537343616,9.44821695919389,-52.798023237129,0.133901603093009,0.207929336603951,1,0
7.9,12.2538453167456,9.48984535108385,-52.8241525567141,0.116267124765617,0.196883907707369,0,0
8,12.4405023444554,9.52903525527058,-52.8474002274366,0.104951137037109,0.194280047036793,0,0
8.1,12.6272632204433,9.56693836830807,-52.8681559771908,0.09366381558952,0.194141294337156,1,0
8.2,12.815009813283,9.60437844475003,-52.8866891251064,0.083435418753003,0.19442191828577,1,0
8.3,13.0040483670156,9.64181163233888,-52.9032483593249,0.07387355501124,0.194670723991239,1,0
8.4,13.1933846851246,9.67920554537111,-52.9179391662102,0.064705638071612,0.195379836715259,0,0
8.5,13.3827939627304,9.7166995373268,-52.9308987278732,0.057244909826441,0.19815751961531,1,0
8.6,13.5724151595906,9.75448845519902,-52.9422842874612,0.049687396019397,0.199405113143725,0,0
8.7,13.7623512511781,9.7926756057154,-52.952284052466,0.043493547371553,0.202714276713567,1,0
8.8,13.9533884685451,9.83162485074212,-52.9607647864428,0.027726917830137,0.192737989437234,1,0
8.9,14.1455403900835,9.87019392810895,-52.9665622171052,0.007603985419799,0.175982909157063,1,0
9,14.3396193668878,9.90681981928048,-52.9688459700507,-0.012099270046223,0.158260562840291,1,0
9.1,14.5341361530214,9.940387280888,-52.967436918374,-0.030113871419255,0.140078353212517,1,0
9.2,14.7270730721192,9.9702485646049,-52.9626853007828,-0.041252540015753,0.129769750348521,1,0
9.3,14.9202691974365,9.99739169340177,-52.9553289954223,-0.051596934485927,0.119549659777983,1,0
9.4,15.1130131855271,10.0222688510005,-52.9459113197449,-0.058970370838279,0.109764869598634,1,0
